"Id";"Identificador";"Paquete";"Cantidad";"Identificación";"Suministrador y ref";
1;"RV10,RV11";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";2;"1Meg";;;
2;"J2,J1";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";2;"CV IN";;;
3;"RV4,RV1,RV8,RV3,RV2";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";5;"100K";;;
4;",";"";2;"";;;
5;"J6,J4";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";2;"OUT";;;
6;"C8,C7";"CP_Radial_D4.0mm_P2.00mm";2;"CP1";;;
7;"C11,C10,C9,C6,C16,C4,C15,C14,C3";"C_Disc_D5.0mm_W2.5mm_P5.00mm";9;"100n";;;
8;"J3";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";1;"PWM IN";;;
9;"R1,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"100k";;;
10;"C2,C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"2.2n";;;
11;"R33,R31,R37";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"10K";;;
12;"R12,R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1.5K";;;
13;"R30,R26,R6,R25,R22,R17,R16,R18,R24,R38,R7,R9,R10,R23";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";14;"100K";;;
14;"R28,R35,R32,R39,R29";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"20K";;;
15;"R20,R21";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"33K";;;
16;"C5";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"1u";;;
17;"J5";"IDC-Header_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
18;"R5,R8,R14,R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"1Meg";;;
19;"D6,D5";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N5819";;;
20;"D4,D2,D3,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";4;"1N4148";;;
21;"R4,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"33k";;;
22;"TH3,TH5,TH6,TH2,TH4,TH1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";6;"10K";;;
23;"RV5,RV6";"Potentiometer_Bourns_3296Y_Vertical";2;"1K";;;
24;"R19";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"14K";;;
25;"RV9";"Potentiometer_Bourns_3296Y_Vertical";1;"100k";;;
26;"U3,U1,U4";"DIP-14_W7.62mm_Socket";3;"TL074";;;
27;"R36";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"200K";;;
28;"Q3,Q4";"TO-92_Inline";2;"BC548";;;
29;"R15,R27";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"68K";;;
30;"R40,R34";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1k";;;
31;"U2";"DIP-14_W7.62mm_Socket";1;"40106";;;
32;"Q1,Q2";"TO-92_Inline";2;"BC558";;;
33;"RV7";"Potentiometer_Bourns_3296Y_Vertical";1;"250K";;;
